"x";"y";"vx";"vy";"t"
-4.99605333333333;49.1634016666667;-6.63230058044033;-4.47354322776598;0
-5.02922666666667;49.1493716666667;-6.71520465394857;-4.52946273142822;684
-5.04113666666667;49.14455;-6.55964780354547;-3.63607215184753;921
-5.162345;49.0990133333333;-6.36036072117319;-3.97439448174904;3528
-5.23842666666667;49.0680633333333;-6.42875475526584;-3.86278556182541;5246
-5.25463;49.0617066666667;-6.44516544991267;-4.02738635763532;5605
-5.29540166666667;49.04558;-6.44551759627906;-3.4271424978816;6526
-5.30353333333333;49.0425633333333;-6.73457157815288;-3.7330339834267;6731
-5.32476833333333;49.0349866666667;-6.35722250017539;-3.38019516251382;7169
-5.33501;49.031465;-5.91574870374592;-3.14545938112087;7418
-5.36877;49.0195416666667;-6.40858807059546;-3.70000004768372;8138
-5.40232833333333;49.0069566666667;-6.68590510896816;-4.01729708253414;8898
-5.43194833333333;48.9948516666667;-6.64710969084917;-3.68455306763711;9588
-5.442645;48.9904366666667;-6.34303810694147;-3.81128180345226;9849
-5.49748666666667;48.9674433333333;-6.40858807059546;-3.70000004768372;11118
-5.52607;48.9562666666667;-6.74095534724375;-3.28778360091808;11755
-5.53600833333333;48.95296;-6.76023647367773;-3.00985119755035;11964
-5.57574666666667;48.940165;-6.92071398507222;-3.37545774666324;12785
-5.73656666666667;48.873735;-6.38938610169499;-4.47389631293918;16312
-5.76486333333333;48.8478433333333;-4.81983895668714;-6.63393919956682;17158
-5.859265;48.741755;-5.41633520836843;-7.18771959042564;20181
-5.90372333333333;48.6912133333333;-5.53600953104523;-8.20747165204218;21548
-5.92166333333333;48.6559683333333;7.16974101211633;-6.23256077540982;22468
-5.89318333333333;48.6407283333333;8.29970703605614;-4.41303251109818;22977
-5.827585;48.611565;7.8564912842163;-3.4979352856096;24187
-5.81218333333333;48.6052866666667;8.46864447619008;-3.59472630757527;24466
-5.79621333333333;48.59899;8.86901405172342;-3.40449552068035;24745
-5.78946333333333;48.5964883333333;8.19249284458198;-3.47750689450244;24840
-5.78081;48.5932883333333;8.12214953245932;-3.11780109269085;25024
-5.769695;48.5892966666667;8.80824661838448;-3.55876263745116;25210
-5.76228166666667;48.5865183333333;8.58893974570792;-3.2969850674635;25340
-5.75599;48.5842483333333;8.43737343025034;-3.40892014298587;25444
-5.74892833333333;48.5816333333333;8.86139076488826;-3.9453453602564;25570
-5.741075;48.57874;8.62281002431741;-3.48384139021852;25706
-5.73367833333333;48.57606;8.21550793124171;-3.1536380243519;25852
-5.72598333333333;48.5732616666667;8.00839204946386;-3.39936074333063;25978
-5.71787666666667;48.5703883333333;8.74479610779818;-3.7119457206481;26120
-5.71093;48.5679583333333;8.30886543969243;-3.18947461424665;26253
-5.70398333333333;48.5654966666667;8.40222383847482;-3.2253115459077;26388
-5.69635666666667;48.5629;8.62281002431741;-3.48384139021852;26524
-5.68885833333333;48.5603416666667;8.21550793124171;-3.1536380243519;26633
-5.68217333333333;48.5579183333333;8.22190911878341;-3.6606297876822;26740
-5.6753;48.5553;8.58732695335051;-3.8233242897548;26898
-5.66822333333333;48.5524933333333;8.70055510128082;-4.05713547392679;27026
-5.66109666666667;48.5495883333333;8.70055510128082;-4.05713547392679;27146
-5.65401833333333;48.5467266666667;8.17902616418514;-3.98917760300593;27261
-5.64695166666667;48.543825;7.92995772538446;-4.04051527449833;27388
-5.64000666666667;48.54101;7.97550869878701;-3.71904078392619;27510
-5.63251666666667;48.537965;8.58732695335051;-3.8233242897548;27646
-5.62518333333333;48.53504;8.17902616418514;-3.98917760300593;27780
-5.61700666666667;48.5317783333333;8.40461803606696;-3.7419770387185;27940
-5.60945;48.5288466666667;8.42866259230534;-3.93034991479654;28078
-5.60240833333333;48.526085;8.42866259230534;-3.93034991479654;28184
-5.59531166666667;48.523265;7.63974939354292;-3.72615474770716;28329
-5.58736166666667;48.5201533333333;8.37659451756194;-3.55565341830449;28450
-5.580525;48.5174733333333;8.51929285241553;-3.9726114991465;28594
-5.573455;48.5146516666667;8.86139076488826;-3.9453453602564;28703
-5.56631833333333;48.51179;8.51929285241553;-3.9726114991465;28816
-5.55977833333333;48.50908;8.77003674185891;-3.9046719286854;28970
-5.55462;48.5070333333333;7.90938777886403;-3.85766617535654;29036
-5.54753166666667;48.50424;8.80824661838448;-3.55876263745116;29174
-5.54066666666667;48.5014483333333;8.13055422452921;-3.6199559682169;29290
-5.53401166666667;48.4987016666667;7.63974939354292;-3.72615474770716;29418
-5.526845;48.4958016666667;8.58732695335051;-3.8233242897548;29564
-5.52040666666667;48.4932016666667;8.40461803606696;-3.7419770387185;29675
-5.51320833333333;48.4901966666667;8.60992397684818;-4.01487348653664;29798
-5.50535166666667;48.4870166666667;8.67868184760471;-3.8639981092201;29931
-5.49852833333333;48.48417;8.37659451756194;-3.55565341830449;30074
-5.492;48.4814716666667;8.79118536139101;-4.09939705827675;30172
-5.485115;48.4785583333333;8.67868184760471;-3.8639981092201;30331
-5.477955;48.4757933333333;8.60992397684818;-4.01487348653664;30430
-5.47053833333333;48.4727116666667;8.79118536139101;-4.09939705827675;30553
-5.46360166666667;48.4698366666667;8.42866259230534;-3.93034991479654;30688
-5.456455;48.4668583333333;8.51929285241553;-3.9726114991465;30803
-5.44946;48.4640316666667;8.4645619797895;-4.31290974752569;30926
-5.442395;48.4611183333333;8.42866259230534;-3.93034991479654;31056
-5.43563833333333;48.4583266666667;8.58732695335051;-3.8233242897548;31188
-5.42872166666667;48.45554;8.60992397684818;-4.01487348653664;31324
-5.42164666666667;48.4526083333333;8.70055510128082;-4.05713547392679;31431
-5.41429833333333;48.4496083333333;8.26890505452098;-4.03301446684685;31568
-5.40756833333333;48.4468916666667;8.65274527130821;-3.67287245874708;31705
-5.40050166666667;48.4440616666667;8.2474012077625;-3.84582634305644;31804
