"x";"y";"vx";"vy";"t"
-5.29456833333333;49.0484683333333;-6.52997017865214;-4.0803782335216;0
-5.30462666666667;49.0442416666667;-6.68590510896816;-4.01729708253414;224
-5.31676666666667;49.0391116666667;-6.44516544991267;-4.02738635763532;502
-5.32359333333333;49.036165;-6.68590510896816;-4.01729708253414;649
-5.32467166666667;49.035695;-6.36036072117319;-3.97439448174904;673
-5.32542833333333;49.035355;-6.52997017865214;-4.0803782335216;693
-5.32628833333333;49.0349833333333;-6.52997017865214;-4.0803782335216;706
-5.33129666666667;49.0328016666667;-6.68590510896816;-4.01729708253414;816
-5.33269666666667;49.0322066666667;-6.51447140359021;-3.91428932019856;855
-5.33641833333333;49.0305666666667;-6.44516544991267;-4.02738635763532;931
-5.344145;49.0271566666667;-6.34303810694147;-3.81128180345226;1111
-5.34708333333333;49.0258233333333;-6.58179298617111;-3.79999995231629;1180
-5.34889333333333;49.0250466666667;-6.68590510896816;-4.01729708253414;1217
-5.35489;49.0223833333333;-6.79730840277487;-3.16963696305525;1353
-5.35520833333333;49.02227;-6.74095534724375;-3.28778360091808;1361
-5.35489;49.0223833333333;-6.79730840277487;-3.16963696305525;1383
-5.37027666666667;49.0167616666667;-6.86075006630442;-3.4957267614027;1699
-5.37356333333333;49.0156066666667;-7.03895162606111;-3.58652499123833;1769
-5.37433166666667;49.0153283333333;-6.88699139270852;-3.66187827927454;1783
-5.374525;49.01526;-6.88699139270852;-3.66187827927454;1788
-5.37646;49.0145066666667;-6.65107602832951;-3.24394652804551;1833
-5.377755;49.0140533333333;-6.68254893141276;-3.4049287480466;1863
-5.385955;49.01106;-6.41524680421024;-3.26873151153292;2038
-5.44513333333333;48.991365;-6.50434779652109;-3.31413073469051;3329
-5.44871;48.9902116666667;-6.68254893141276;-3.4049287480466;3411
-5.48222166666667;48.978855;-6.40858807059546;-3.70000004768372;4157
-5.49934666666667;48.9723183333333;-6.47218591624177;-3.58759123605794;4538
-5.76044;48.861105;-4.24986601304888;-6.30068547235513;10798
-5.91979166666667;48.6594266666667;-1.68408477493586;-7.92299593907752;17030
-5.91683333333333;48.6450066666667;1.91278751586738;-8.99895774018416;17388
-5.90898166666667;48.62633;1.48612741788219;-9.38303923565381;17841
-5.90827333333333;48.6244583333333;2.24987367521985;-9.02375043943599;17888
-5.90790333333333;48.62353;2.11453982502031;-9.15907823728853;17910
-5.90653666666667;48.620215;2.11453982502031;-9.15907823728853;17988
-5.90229;48.6098;2.274065726351;-9.12077945685592;18242
-5.901965;48.6091416666667;1.7745236933958;-9.1291329932938;18260
-5.90050333333333;48.6055483333333;2.02455948909478;-8.76933058306712;18343
-5.90014833333333;48.604745;2.02455948909478;-8.76933058306712;18366
-5.89949333333333;48.603045;2.04705468034119;-8.86676796123832;18408
-5.89873166666667;48.6012833333333;2.45878092847395;-9.17629534974615;18450
-5.89641833333333;48.59548;1.91278751586738;-8.99895774018416;18586
-5.89629666666667;48.5951466666667;2.04705468034119;-8.86676796123832;18596
-5.89585333333333;48.5940266666667;2.225681393374;-8.92672049666995;18623
-5.89641833333333;48.59548;1.91278751586738;-8.99895774018416;18633
-5.89444166666667;48.590455;2.225681393374;-8.92672049666995;18709
-5.89411333333333;48.5896733333333;1.7745236933958;-9.1291329932938;18727
-5.89403166666667;48.5893983333333;1.91278751586738;-8.99895774018416;18733
-5.8939;48.5891116666667;2.06954965705755;-8.96420441017782;18740
-5.893805;48.5888616666667;1.75544272107029;-9.03096990048798;18746
-5.89371333333333;48.5885683333333;2.06954965705755;-8.96420441017782;18754
-5.89355;48.5881483333333;2.09204484830395;-9.06164178834903;18765
