"x";"y";"vx";"vy";"t"
-3.68515666666667;49.658915;-8.19725985258698;-4.17671251101202;0
-3.68753666666667;49.6580966666667;-8.19725985258698;-4.17671251101202;28
-3.72154833333333;49.6456066666667;-8.12311768589324;-4.3191382880856;629
-3.77907333333333;49.6244083333333;-7.69665358964715;-4.26632475063786;1674
-4.20623;49.46069;-7.24017009303431;-3.84966672529971;10104
-4.257425;49.4410783333333;-7.39535432070946;-3.76812123443006;11140
-4.270745;49.4360533333333;-7.41675944319721;-3.94356094831229;11398
-4.27678166666667;49.433725;-7.30625332839861;-3.72272201127247;11500
-4.30340166666667;49.42365;-7.48445446329027;-3.81352002462856;12034
-4.31315166666667;49.4199533333333;-7.57355545560113;-3.85891924778615;12226
-4.32559333333333;49.4152466666667;-7.48445446329027;-3.81352002462856;12459
-4.38370166666667;49.3935816666667;-7.75175659049279;-3.94971726114224;13574
-4.39536;49.3892566666667;-7.84085758280364;-3.99511648429983;13788
-4.40241833333333;49.3866583333333;-7.66265644791198;-3.90431847094374;13927
-4.41164833333333;49.3832916666667;-7.76993898556745;-4.13134984206043;14081
-4.43480333333333;49.37452;-7.68164388946378;-4.08440250669265;14541
-4.4454;49.3705333333333;-7.76993898556745;-4.13134984206043;14734
-4.45252333333333;49.367895;-7.76993898556745;-4.13134984206043;14889
-4.51485166666667;49.3443616666667;-8.03482343183401;-4.27219140044079;15994
-4.52716333333333;49.3397966666667;-7.94652833573034;-4.22524406507302;16211
-4.53387;49.3373133333333;-8.03482343183401;-4.27219140044079;16334
-4.56809333333333;49.324645;-8.13396344321685;-4.50872956076103;16934
-4.58695666666667;49.31769;-8.21141278199691;-4.36608562345338;17274
-4.60491833333333;49.3112316666667;-8.21141278199691;-4.36608562345338;17605
-4.63532833333333;49.3004033333333;-8.47629722826348;-4.50692718183374;18109
-4.65463833333333;49.29309;-8.31384420669308;-4.80000019073487;18445
-4.68815;49.280075;-8.22724133595217;-4.75;19024
-4.71243666666667;49.27062;-8.40023971037239;-5.04737323235425;19446
-4.74686333333333;49.2573816666667;-8.57365116710347;-4.94999980926514;20012
-5.05062833333333;49.14216;-9.17986961047752;-5.30000019073487;24842
-5.07808333333333;49.1318783333333;-9.26647165531225;-5.34999990463257;25221
-5.31571166666667;49.04194;-8.98931014276279;-5.61714440302013;28898
-5.3488;49.0291416666667;-8.88990834014893;-5.77317397892259;29415
-5.42890833333333;48.998315;-8.53908715544329;-5.75968701240628;30645
-5.47114333333333;48.9816533333333;-8.45618308193505;-5.70376750874404;31363
-5.48851333333333;48.9749516666667;-8.65739006407471;-5.20188475306298;31609
-5.51484666666667;48.9652766666667;-8.57167300702112;-5.15038074910055;32074
-5.55651166666667;48.950285;-8.40023971037239;-5.04737323235425;32783
-5.60040333333333;48.9341083333333;-8.21897172582887;-5.33746264702892;33473
-5.613695;48.9291966666667;-8.04166429565753;-5.42417105700867;33683
-5.69804333333333;48.897435;-7.53619865121787;-5.2769031050286;35195
-5.76247;48.861595;-3.81382889345231;-7.81950803137139;36525
-5.77503;48.8473883333333;-3.99511648429982;-7.84085758280365;36937
-5.80968666666667;48.808205;-3.85891924778614;-7.57355545560113;38075
