,Latitude,Longitude,Label,Color
0,-5.631555239775717,48.91977701357958,4,green
1,-5.62013747734887,48.91981590366752,4,green
2,-5.647419729744168,48.91551046312687,4,green
3,-5.650166436066454,48.91087537253423,4,green
4,-5.654359178906463,48.90726918520618,4,green
5,-5.661092992994181,48.90857841197245,4,green
6,-5.65865431500948,48.9087174480073,4,green
7,-5.671303916279482,48.89948087990405,4,green
8,-5.678646455579383,48.90563721055702,4,green
9,-5.686114088541009,48.90646952885759,0,orange
10,-5.686419102934871,48.90098137596378,0,orange
11,-5.6875643364731925,48.898904508978156,0,orange
12,-5.704024973840269,48.89365613094679,0,orange
13,-5.6987566346998975,48.887373035536896,0,orange
14,-5.704309122718326,48.892737573800176,0,orange
15,-5.714866815530639,48.893764834982946,0,orange
16,-5.706911401839855,48.887809803524064,0,orange
17,-5.705258934666339,48.890182048717506,0,orange
18,-5.7067836194821675,48.899836589178854,0,orange
19,-5.710566535252218,48.8797058130429,0,orange
20,-5.7163275833461045,48.88793905450453,0,orange
21,-5.741379349183501,48.87041489692707,0,orange
22,-5.751716542034975,48.86734078069191,0,orange
23,-5.8927377704106885,48.69487380966938,1,yellow
24,-5.893540708443904,48.681501523306245,1,yellow
25,-5.894302416061824,48.6918203148782,1,yellow
26,-5.895881912463075,48.68992739580564,1,yellow
27,-5.902905289146839,48.69387508922754,1,yellow
28,-5.901886127008628,48.68941301980442,1,yellow
29,-5.90458567847074,48.68616812102254,1,yellow
30,-5.9009280855073705,48.684395993370785,1,yellow
31,-5.892352861284558,48.68059965599668,1,yellow
32,-5.898458230586953,48.67846666857348,1,yellow
33,-5.906399927974997,48.68114673957814,1,yellow
34,-5.901863819469655,48.687487303906245,1,yellow
35,-5.904426194990474,48.690647514963786,1,yellow
36,-5.90938090725869,48.678776090220445,1,yellow
37,-5.909637616881046,48.67731931885992,1,yellow
38,-5.911509715672042,48.674840472165386,1,yellow
39,-5.909968808545018,48.675730632851575,1,yellow
40,-5.9143116654294845,48.67428769693103,1,yellow
41,-5.9179085269359595,48.670413121222836,3,purple
42,-5.911006210885635,48.666900795568836,1,yellow
43,-5.926579037597834,48.663282765238186,3,purple
44,-5.920228288770555,48.663135856307505,3,purple
45,-5.9326763444359765,48.662746273434074,3,purple
46,-5.9194738004422796,48.6614707581112,3,purple
47,-5.918951474198707,48.68067448165183,1,yellow
48,-5.932733785628065,48.65690655311775,3,purple
49,-5.932679998804787,48.6516404012881,3,purple
50,-5.93029679582852,48.64843345295304,3,purple
51,-5.938181287775945,48.64361925637949,3,purple
52,-5.9461429592382276,48.623508084412016,2,red
53,-5.957154638581734,48.61591474856901,2,red
54,-5.960353786485398,48.61318720757432,2,red
55,-5.960066410672812,48.61720249448059,2,red
56,-5.969699832951795,48.60338443836876,2,red
57,-5.969607273451977,48.602801550771666,2,red
58,-5.975670244449656,48.594115993169986,2,red
59,-5.986811411589952,48.585677839357004,2,red
60,-5.983508371885637,48.5847573573069,2,red
